[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8071277 | BYD ATTO 2 | Dynamic | $35,371 | available | BYD Devonport
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8088786 | BYD ATTO 2 | Dynamic | $36,155 | available | BYD Sunbury
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8094846 | BYD ATTO 2 | Dynamic | $35,371 | available | BYD Launceston
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8096069 | BYD ATTO 2 | Dynamic | $35,530 | available | BYD Ballarat
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8096070 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8096072 | BYD ATTO 2 | Dynamic | $35,530 | available | BYD Werribee
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8100339 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8100341 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8100342 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8101205 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8101776 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8101984 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8102592 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8104527 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8104528 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8104529 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8107227 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8107656 | BYD ATTO 2 | Dynamic | $35,660 | available | SA
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8107657 | BYD ATTO 2 | Dynamic | $35,660 | available | SA
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8107658 | BYD ATTO 2 | Dynamic | $35,660 | available | SA
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8107925 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108404 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108421 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108422 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108788 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108789 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108790 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108894 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108895 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108925 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108926 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108928 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108929 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108936 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8108937 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8110125 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111326 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111327 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111328 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111329 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111330 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111423 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-02 01:40:10 UTC] NEW MATCH - stock#8111424 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
